title_len_words,body_len_words,has_code_snippet,tag_count,user_reputation,account_age_days,post_hour,is_weekend,success_score
10,92,0,1,375,618,18,0,61.1
9,179,0,3,2408,3093,20,1,65.5
3,226,1,3,1053,64,10,0,72.2
11,57,0,2,730,2213,17,1,42.9
8,119,0,4,135,2075,15,0,52.1
12,208,1,2,135,3383,7,1,65.2
5,209,0,4,47,3060,3,0,48.0
3,129,1,3,1608,285,10,0,72.0
9,95,1,3,735,1684,9,0,77.1
9,197,1,2,985,2329,15,1,72.4
3,211,0,2,16,838,11,0,30.2
6,70,1,1,2802,831,21,1,62.4
17,67,1,2,1429,1188,2,0,65.8
8,153,1,2,190,3970,10,0,76.3
11,177,1,4,160,2966,23,0,76.5
7,122,1,3,162,224,15,0,84.9
3,180,1,4,290,784,23,1,76.2
8,97,1,3,595,3218,2,0,81.4
8,20,0,4,452,3013,9,0,55.0
7,114,0,5,275,950,20,0,52.7
8,143,0,2,757,3940,15,0,67.3
9,123,1,4,120,3102,6,0,75.7
8,70,1,3,276,45,14,1,66.3
5,31,1,4,365,1811,14,0,68.2
10,109,1,3,487,471,9,1,69.3
3,193,0,3,1230,2082,2,0,51.6
3,215,1,2,178,2701,5,0,66.8
11,211,0,1,577,3499,17,1,39.3
10,91,1,3,718,830,21,0,82.4
8,70,0,5,38,1910,4,0,39.9
4,169,1,3,748,2269,15,0,83.8
6,178,1,2,149,1892,12,0,68.3
8,164,1,4,53,2582,2,1,67.5
4,20,1,4,2378,692,14,0,78.7
6,87,1,2,2696,1391,22,1,81.9
10,138,1,1,1321,932,19,0,90.8
13,169,1,2,290,841,5,0,78.7
7,186,0,4,82,3815,21,0,58.8
11,148,1,4,922,3059,3,1,76.1
3,159,0,2,464,1939,14,1,49.5
10,145,1,2,104,1574,17,0,78.5
6,181,1,4,546,2630,8,0,80.2
9,158,1,4,27,3188,19,1,67.1
8,143,1,4,1920,2287,3,1,77.0
12,123,1,3,239,3407,15,1,77.6
6,144,1,2,869,2489,17,0,85.4
10,169,1,3,298,148,4,0,69.9
8,156,1,2,587,1033,12,0,77.8
8,162,1,4,632,1312,5,0,81.8
8,220,1,3,163,388,21,1,67.2
6,155,1,4,2794,3122,18,0,91.0
8,101,1,3,1193,1874,11,1,82.1
8,193,1,4,2244,3589,14,0,90.2
9,58,1,2,1801,916,8,0,83.8
9,75,1,3,728,1879,6,0,73.0
11,160,0,3,2039,2686,13,0,70.4
11,170,0,1,74,3659,18,0,52.9
5,65,1,4,174,3749,19,0,67.6
11,117,1,3,37,278,15,1,74.9
5,103,1,3,314,1978,22,0,70.8
10,110,1,4,393,1860,23,1,64.4
10,196,0,4,253,3037,21,1,50.5
3,182,0,3,1411,3372,3,1,54.3
9,138,1,4,352,1826,11,1,72.3
7,107,1,1,263,2637,17,0,71.8
6,59,0,2,625,1834,7,0,47.0
13,225,0,3,121,2697,16,0,54.6
7,175,1,3,1296,618,23,0,84.1
6,97,1,3,61,1631,2,0,65.8
9,183,1,2,3467,2183,3,1,83.8
11,135,1,3,1183,580,9,0,78.3
8,122,0,4,177,1171,15,1,50.6
12,166,0,3,4,490,19,0,44.7
10,95,1,5,1351,2526,1,1,72.3
3,119,0,4,981,1183,11,1,39.8
7,147,1,2,1044,384,15,0,86.8
7,110,1,2,1180,163,9,0,79.5
10,180,1,2,61,2489,4,0,55.5
3,252,1,4,355,1877,11,0,72.7
16,94,1,1,98,1213,2,1,48.4
10,40,1,2,1590,2463,11,0,65.0
9,20,0,4,781,1363,0,0,61.4
12,130,0,3,321,1631,1,0,66.2
16,100,1,2,52,1205,10,0,66.9
11,152,1,2,297,288,11,0,74.7
11,147,1,4,314,1858,6,1,72.8
9,43,0,4,1046,187,0,0,68.0
8,31,1,2,811,1908,12,0,70.8
7,157,1,3,1745,1162,12,0,82.5
6,148,1,4,511,130,1,1,71.6
6,114,1,4,101,2242,9,0,77.4
4,40,1,4,999,2364,22,0,60.7
8,168,0,3,1144,3857,0,0,70.1
3,216,0,4,659,1888,6,1,43.1
9,156,1,2,1179,144,12,0,75.0
8,89,1,2,544,16,23,0,77.3
9,142,1,3,591,3374,1,0,88.1
7,58,0,3,446,2471,19,1,48.7
18,203,1,4,20,245,6,0,54.2
13,144,1,1,91,927,16,1,67.9
5,33,1,4,25,3179,21,0,50.3
9,121,1,2,809,3160,4,0,69.1
7,167,1,3,301,2177,10,1,72.3
5,120,1,1,568,907,21,0,63.6
4,123,1,3,1905,887,23,0,75.4
10,66,1,3,229,341,10,0,70.8
6,173,1,3,422,2052,10,0,82.0
11,101,1,2,1126,3399,16,1,73.3
11,20,1,3,207,1434,18,1,65.2
13,117,1,4,64,3951,7,0,64.8
6,198,1,2,273,306,19,1,69.4
10,116,0,2,140,908,13,1,45.3
